email_body,subject_line
"Dan,  I work for Tom Martin on the Texas Gas Trading Desk and he has some questions  on EOL ""Force Majeure"" language.
Specifically, we buy/sell gas at the Exxon  Katy Plant and were wondering the ""Force Majeure"" ramifications of the the  Plant closing due to freeze-offs, i.e.
can we claim Force Majeure in that  instance and what remedies are provided for in the EOL contract language?
Additionally, we buy/sell gas at HPL pooling points such as Agua Dulce Pool  and were curious about the Force Majeure provisions and remedies for these  pooling zones.
I do not know if you are the right person to contact regarding this  information, but if you can provide any insight I would greatly appreciate it.
Thanks in advance.
Sincerely,
","EnronOnline ""Force Majeure"" Language"
"MIke,  Attached is the updated summary regarding expansions in the west.
There is only one change - PGT 2003 expansion.
The expansion has now dropped from 230,000 MM/d to 160,000 MM/d due to PPL dropping out.
Let me know if you need anything else.
Phil
",Summary for Grigsby.xls
"Shirley,  My Power Point presentations for Peoples' presentation,  I need color transparencies.
I don't know how many B&W copies we need.
You can ask  Lynn Pitofsky about the number of participants.
Vince
",Thursday Power Point Preesentatios
"This note is an invitation to the Albuquerque Region Cross Functional meeting to be held November 6th & 7th at the Sheraton Hotel in Albuquerque.
In addition, please let me know if you would like time in the agenda to share information or address any issues.
All the Regional Teams will be represented at this function.
Rooms have been blocked for the 5th, 6th & 7th but, we would ask that you make your own reservations.
(505-881-0000).
If you would like time in the agenda, I need your preferred date and the time required by October 15th.
Thank you
",Invitation - Albuquerque Regional Meeting
"Hi: Hope you're well.
Based on your note, I faxed my Direct Deposit change to  Renee Kelso a week or so ago and wanted to check with her to see that she'd  received it and that it was in process, but I can't find her name in email.
Any suggestions on how I can check in and see how progress is going?
As  always, thanks a bunch.
Best,
",Direct Deposit Change
"purple passage (PUR-puhl PAS-ij) noun, also purple patch, purple prose     1.
A brilliant passage in an otherwise dull and uninspiring work.
2.
A piece of writing marked by ornate, florid style.
[From Latin pannus purpureus (purple patch), a phrase used by poet Horace in his Ars Poetica (The Art of Poetry) to suggest a patch of royal fabric on an ordinary cloth.]
""Page after page is filled with drunken quarrels with his wife; with lies,    infidelities, religious doubts, homosexual yearnings and, above all, with    his daily, desperate search for a bottle.
Interspersed among these dreary    horrors are purple passages about his love for his children, his dog and    his fine house.""
A Gin at Mid-Morning -- John Cheever: The Journals by John Cheever,
",A.Word.A.Day--purple passage
"Please review the following regulatory outline for the ratings package (attached file).
If you have any comments, suggestions or recommended changes please call or e:mail myself or Teb Lokey.
Thank you,
",Ratings Package Outline and tables
"The meeting yesterday with about 7 small producers in Okla went fairly well.
It is obvious that they now realize that the cost of processing, if necessary is there obligation, not Northerns.
We heard the same rhetoric about the history, for the past 30 years it is has been a ""wet"" system and they entered into contracts without any processing obligations.
Northern' can't change due to this and historical operation and ""unwaive"" the high c6+ based on the highest receipt levels.
They (Dan?? )
was very insistent that if a problem occurred, all shippers should be pro rated and NNG's tariff should be enforced at the tailgate of the Bushton plant, not the point of receipt as the tariff currently states.
They asked us to file to change, potentially incorporate a default processing agreement that had to be used in the event of high concentrations of C6+--  I think you get the drift of the discussions--  don't just cut my gas, cut everyone
",Producer meeting
"I reviewed the counterparties in our Financial Trading Database and located  17 who cannot enter into financial power transactions and cross-checked that  list against my Online Trading Counterparty List and located the 6  counterparties below have been opened to trade online and who cannot trade  financial power and/or who have some type of restriction in place on the type  of financial power transactions they can enter into:  1.
The Bakersfield Californian - can only do newsprint swaps and options 2.
CMS Marketing, Services and Trading - can enter into financial power  transactions only if those transactions are fixed price swaps, basis swaps,  swing swaps and options 3.
Phibro, Inc. - can only do natural gas, crude oil or oil product energy  prices swap, put & call options.
Per my discussions with Tom, this  counterparty is coming through on tonight's list as an amended counterparty  because they want to do financial power.
They have a really old form of  agreement in place from 1993 and it does not allow power financial  transactions.
I spoke to Mark Taylor about this and he said if they want to  do financial power they are going to have to replace this agreement with an  ISDA.
I am going to talk to Credit about this.
They will definitely not be  able to trade financial power by Monday... 4.
PXRE Corporation - weather only 5.
Swiss Re Financial Products Corporation - weather only 6.
Tempest Reinsurance Company Limited - weather only
",EnronOnline - Financial Power Trading
"Hi Ken,  	I just wanted to take a moment to thank you for everything you're trying to do for us during this horrible situation.
It would have been easy to stay at home (many people would have) and watch events unfold but you had the guts and the heart to come back and take this thing head on.
Being a 21+ year Enron/NNG employee, this situation has been heartbreaking...
I know you're there too.
Many employees are sitting around in a daze over everything we've lost; I've lost everything too, BUT there are SO many things I have in my life that I would never have achieved had it not been for you and your leadership.
I am eternally grateful for everything you've done for Enron and for me personally.
Hang in there, we still believe in you and this company.
God Bless You,  Craig Buehler
",Thank You
"Hey everyone,  The pizza party will commence at 7pm this Friday.
To simplify things a bit since it is a work day for most......John and I will provide the following ingredients below and guests are asked to bring one bottle of wine per person or the alcoholic beverage of their choice.
The dough will be prepared thin crust style and each person will get to design their own pizza to share with the group.
The following is the list of pizza toppings that I will have at your disposal so that we can experience everyones creative inner pizza genius.
Meats:  Pepperoni, prosciutto di parma, canadian bacon, smoked salmon, grilled chicken.
Cheeses: Mozzarella, goat cheese, gouda, feta, parmesan.
Sauce: Tomato, barbecue, jerk.
Herbs: Parsley, basil, oregano, rosemary, cilantro.
Veggies: Black olives, capers, pepperocini, green bell pepper, artichokes, mushrooms, garlic, pineapple, tomatoes.
Dessert will be a special Happy Birthday/Sorry about the Root Canal selection for Mrs.
Friend.
We look forward to seeing everyone.
MoJo
",Pizza Party
"Mark nothing has changed since our meeting last week, but here's a quick summary for your convenience:   1.
Deliberation 15: COMAE (board for ASMAE, which acts as the clearinghouse for the MAE) issued Deliberation 15 directing ASMAE to do its accounting without applying Annex V by Oct. 31, 2001.
The generators object because without Annex V,  they are 20% short instead 5% short.
Elektro and the LDCs object because failure to apply Annex V ignores the contract which is registered with the MAE, and a 20% long position will never be upheld.
Deliberation 15 further directs ASMAE to gather and supply to the generators and LDCs the information for application of Annex V, seven days prior to Oct 31.
This is good because it gives Elektro the information it needs to calculate the set off against the generators for its 5% long position.
Thus, it is unnecessary for Elektro to seek an injunction against ASMAE compelling the information.
2.
Letter to COMAE/ASMAE:  To preserve its position, Elektro sent a letter objecting to the COMAE's failure to direct ASMAE to apply Annex V.  The letter confirms a list of information LDCs require for the calculation.
If the information is not provided or is delayed, Elektro will go to court to compel the information.
Once it gets the information, Elektro can go to court  to force ASMAE to apply Annex V.  Prior to taking the set off, Elektro will seek an injunction to protect its assets from seizure by the generators under Annex VI.
Subsequently, Elektro will file a suit against the generators to enforce the contractual application of Annex V.  3.
Two suits are being filed immediately to compel ANEEL to permit Elektro to recover or pass through various costs increases pursuant to its concession agreement.
Regards,
",Annex V
"Please find attached a revised draft of the Request for No-Action Letter.
We have also attached a redline showing the revisions made to the previous draft.
Sincerely,
",EES Draft Request for No-Action Letter
"Attached are the EPMI-EES sale prices for the first week of February.
I will  resume responsibility for maintaining and sending the spreadsheet tomorrow,  and you can expect to receive it daily.
Thanks for your patience while we  were working out the kinks on this one.
Kate
",EES Sale Prices 2/1-2/7
"Hello Susan -  This is Bobby here at Enron.
I work in retail power in EES.
We met  ages ago here in Houston.
I started working here at Enron a month ago.
I work on 6 but make it to 31 and 32 from time to time to talk to people there.
Hope things are good on your end.
Bobby  ps.
If you see Joel Bennett around, tell him I said hi.
(I can't remember which floor he's on.)
",hello susan
"Mark,  Listed below are the goals i initially submitted for your group for 2001.
= =20 Please take a moment and review, change and add details to make it more=20 clear.
These worked for step 1 but i now need more detail - e.g.
describe= =20 your long term transactions again.
Please amend on this email below and=20 return asap.
Weather ?
Create $38 million in gross margin and $24 million in EBIT ?
Implement a fully integrated global front to back weather system=20 ?
Lever Enron=01,s scope and scale to create a true global group that can= =20 capitalize on opportunities around the world to executive global arbs and= =20 global meteorological opportunities ?
Originate 3 additional SMUD (dual trigger) like transactions; 1 structure= d=20 tax related transaction and at least 1 new structured financial transaction  Thanks,
",2001 goals
"Collateral Arrangements.
Counterparty shall (at Enron=01,s request) either:=  (i)=20 within one Business Day of such request by Enron, provide to Enron a letter= =20 of credit in respect of Counterparty's obligations under any Transaction, i= n=20 such form and for such amount and from such issuer, as is acceptable to Enr= on=20 in its absolute discretion; or (ii) within such period as is specified by= =20 Enron, provide for the benefit of Enron a parent company guarantee in such= =20 form and for such amount as is acceptable to Enron in its absolute=20 discretion.
Failure so to provide such letter of credit or parent company= =20 guaranty shall constitute a default hereunder giving rise to the immediate= =20 right of termination by Enron under this GTC.
",Credit Language
"Ok, I've changed your expenses account and am into your calendar, etc.
Do you just use your cell phone now.
You don't have a pager any more right?
Blackberry?
Just updating my information.
Still married to Neil????
Just kidding~~~~~
",Thursday
"ok- so, step one in planning event:  be sure ""guest of honor"" is available that date....which, apparently sue isn't!
sigh.
she's got a packed weekend w/ (other people's) wedding obligations....will have to re-group and look at other dates.
however, i may still be interested in a grp get-together, in a non-birthday related event..... emily
",oops...
"With the execution of the Wisconsin Gas Company master, this brings the total  executed financial masters to 400.
The countdown to 500 executed financial  masters is now starting!
Congratulations to the Legal and Credit teams for  getting us to this point and for a job well done!
",400 and counting...
"Liz and Tammie:  Mark Haedicke requested I get two different dates that Greg and Louise can be available to meet with the CFTC here in Houston.
The CFTC will come to review our operations and ensure we are operating in compliance with the law.
Mark has proposed to block out and hold Thursday, February 21, and Thursday, February 28.
Then we can submit those two dates to the folks at the CFTC and see which date they prefer.
Please advise if we can hold those two dates.
Many thanks.
",Meeting with CFTC
"I just wanted to say 'Hi!'.
I really enjoyed talking to you last night (and  every other night).
I hope you have a great day.
More later,  Errol McLaughlin
",Good Morning!!
"Please let me know if you want me to participate in any gas panels.
And my  feelings won't be hurt if you say no.
Worry not.
Just need to know so that  I can prepare some materials.
Best,
",Retreat
"Good morning!
Thanks for your help yesterday.
Would you please CALL A&K and make sure that they add Angela Davis to the  distribution?
Thanks.
Sara
",Enron/Project Tahiti
"The Austin Group Energy, L.P.
Monthly Newsletter  Let's describe a typical and recurring nightmare for generating unit operators.
It's noon on August 15, temperatures have reached the upper 90s all week; you're well into your reserve margin to serve native load, when a unit trips off line.
Do you scramble to find replacement power at record high prices and worry about the consequences later?
Or, have you prepared for this event?
When the degree of risk has not been quantified, fear of the unknown can lead to restless nights, and understandably so.
The financial implications can be astounding when a unit outage occurs during a period of high spikes in market prices.
How does this relate to the recruitment and hiring of talent within your shop?
Allow me to bring the story together.
What would you do if your top employee came to you and said, ""You've been great to me and I've learned alot, but I just accepted a job at your level right down the road and they like me so much they want me to start tomorrow.""
Do you spring into 911 mode or are you ready for this day.
Start a relationship today with The Austin Group Energy.
We will keep you aware of all available talent in your market area.
These candidates are currently employed and do not answer ads.
They stay in touch with opportunities through us to ensure confidentiality.
Why would Top 5 marketing companies pay us for the recruitment and placement of over 400 successful hires when they could hire them on their own.
The smart and proactive companies understand how to outpace the pack when it comes to hiring talent, they call The Austin Group Energy.
THE FOLLOWING CANDIDATES ARE AVAILABLE FOR IMMEDIATE OPPORTUNITIES:  Ref# 00012123 Power Options Trading Desk This PhD candidate is responsible for long term derivatives trades/structures (Asian options, heat rate options, weather/power derivatives structures, swing options etc.)
Ref# 00012124 Rotational Program- Risk Analytics This MBA Finance candidate is analyzing/evaluating structured transactions and derivative instruments.
Has developed a VBA-based delta-adjusted risk exposure model for all asset management groups.
Designed intermediate-term forward power curve forecasting model based on gas forward curve.
Created Visual Basic Monte Carlo simulator for Excel for option analysis.
Ref# 00012125 Quantitative Analyst This M.S.
in Applied Mathematics candidate builds short term models necessary to forecast/schedule usage on a portfolio basis, by various levels of aggregation (e.g.
region, congestion zone, weather zone, customer, etc.)
Constructing statistical and econometric models to accurately predict seasonal customer usage based on rate class, calendar and geographic climate patterns.
Ref# 00012126 Quantitative Analyst - Manager This candidate developed and implemented two Value-At-Risk (VAR) methods for Natural Gas.
Developed and implemented models for pricing and hedging exotic natural gas options (Gas Daily and Peaker).
OpenLink experience with VaR and mark-to-market calculations.
Ref# 00012127 Director Derivatives Trading and Portfolio Management Developed Nymex and locational options, position risk management model.
Evaluated and assisted in the process of selecting and implementing a new real time front and back office financial system with VAR capabilities.
Structured deals for marketers using embedded financial products and  traded natural gas options and fixed for float swaps.
Priced and hedged advanced options and swaps such as swaptions, asians, extendibles, expandibles, and spread options.
Ref# 00012128 Risk Control Analyst Support Origination and Trading activities by providing daily mark-to-market values and VaR reports through accurate and timely entry of financial transactions into RMS system.
Maintain database for RMS system and Integrated Commodity Trading System (ICTS) for entry of financial trades.
Ref# 00012129 Risk Manager Responsible for all mid-office trader support functions.
Responsibilities include daily senior management position and P&L reporting, process improvements, system implementations, structuring of originated transactions, and rollout of an operational analysis plan.
Ref# 00012130 Senior Commercial Analyst:  Pricing and Structures Developing model to incorporate basis and transportation into gas fuel costs utilized in mark-to-market valuation of a gas-fired generation asset.
Determined market value of regional power by confirming the marks estimated by the trade desk against independent broker prices.
Forecasted resulting previous day's trade-to-market figure for preliminary valuation of book value.
Ref# 00012131 Director - Risk Management Analyze financial markets and advise physical traders of hedging and trading opportunities.
Analyze market, secure management approval of trading strategies and execute financial trades.
Generate position reports for upper management.
Ref# 00012132 Risk Management Specialist Perform risk management functions for the gas trading organization, including daily position and P&L reporting.
Ensure deal validation and perform problem resolution for executed trades.
Create daily VaR estimates for both cash and term traders.
Ref# 00012133 Risk  Analyst Determine market value of regional power, confirming the market values estimated by trade desk against prices set for independent brokers.
Forecast resulting previous day's trade-to-market figure for preliminary valuation of book value.
Participate in daily Value at Risk calculations, exception reporting for daily variances, updating of daily price curves, and updating proprietary models which value long term transactions.
Enjoy the holidays!
Wishing you all a happy and prosperous 2002!
Sincerely,
",TAGE Newsletter
"What's up rude-dog.
Haven't heard any new recruiting news.
I think it is  going to be quiet on that front until later in the football season.
I was up in Denver this past week and talked to Jessica Wentworth.
She said  you have been exploring the Australian countryside.
Bet there is some  amazing stuff down under.
Anyway, drop me a note and let me know how its  going.
I know I have asked this before, but when are you getting into town?
We need  to have some repatriation beers upon your arrival.
",Hookem
"Smarter Living Deal Alert!
Tuesday, November 20, 2001  Happy Thanksgiving from Smarter Living!
This special edition of Deal Alert!
contains information about last-minute holiday airfares and car rentals, plus European getaways for winter travel.
Headed to the airport this week?
Read on for our top tips on how to pack and what to expect when you get there.
Have an enjoyable and safe holiday!
************************ Sponsor *************************** GET EVEN BETTER TRAVEL DEALS WITH HOTWIRE HOT-FARES!
(sm)  Use your flexibility to save even more on airfare, hotels and car rentals.
Hotwire works with quality travel companies to  negotiate special Hot-Fares(sm) -- deals you can?t find anywhere
",Smarter Living Deal Alert!
"Lynn Aven and I are in the process of finalizing a memo on the Argentina trip  and we will also have a separate list of ""action points"" for Mike G.  I am  not planning to do anything further with respect to Argentina per your  instructions (eg, there is an ADA conference in June and we have been asked  to provide a speaker; we have been asked to comment on the ADA local master  format; finalizine trader guidelines and termsheet format).
Also, I am not  planning to do anything further with respect to Brazil other than finalize  our financial trading matrix.
I have cancelled my trip to Sao Paulo at the  end of March and will table the ""derivatives training"" indefinitelly.
",ADA Derivatives conference
"Thanks for the jokes, Bubba.
When are we all going to go out again?
I had  such a great time.
By the way, I'm not wearing a bra!
",Great come back......
"Thought you would be interested in this.
Seems to come at a time when Bush= =20 is going to win the Presidency - very interesting.
Ben
",Succession Plan
"Dear Market Participant,  Technical Bulletin #67 - Automated Mitigation Procedure for the Day-Ahead Market - and Technical Bulletin #68 - Reference Level Adjustment Request Process - have been revised and will be posted to the NYISO web site.
Copies of the Technical Bulletins are attached for your convenience.
The purpose of our Technical Bulletins is to facilitate participation in the NYISO by communicating various NYISO concepts, techniques, and processes to Market Participants before they can be formally documented in a NYISO manual.
Peter Lemme NYISO Customer Technical Services plemme@nyiso.com  (See attached file: TB 67 rev7_26_01.pdf)(See attached file: TB68 rev7_26_01.pdf)  - TB 67 rev7_26_01.pdf   - TB68 rev7_26_01.pdf
",NYISO - Revised Technical Bulletins # 67 & # 68
"Rick:  This is a draft of the language to be used in a McConnell/Shankman  memo to go out on their new organization.
I worked with Mike on the language  for this paragraph.
Any comments or suggested changes?
Mike would like to send this out ASAP, ideally this afternoon.
Thanks for  taking a look.
draft  Brent Price will be joining Enron Global Markets as Vice President of  Operations and Chief Accounting Officer.
He will report to the EGM Office of  the Chairman, and to Sally Beck, Vice President of Global Risk Management  Operations.
He will coordinate with Rick Causey, Executive Vice President  and Chief Accounting Officer for Enron Corp., on accounting issues and  reporting earnings.
Reporting to Brent in his new position will be Sheila  Glover, business controller for Global Financial Products;  Todd Hall,  business controller for Weather; and Scott Earnest, business controller for  Global Products and Coal.
In addition, Tom Myers has joined Brent's  management team as Director of Accounting.
Brent and his team are  responsible for all accounting, risk reporting and trading operations for all  the businesses within EGM.
",Language in McConnell's memo on Global Markets
"At the request of Dan Diamond, I am attaching our proposed form of  Non-Disclosure Agreement.
If the enclosed meets with your approval, please  execute the agreement and return it to me via fax no.
(713) 646-3490.
I will  then have it executed by an officer of EnronOnline.
If you have any comments  or questions please do not hesitate to call me at (713) 853-3399, or Mark  Greenberg, Senior Counsel, at (713) 345-8897.
We look forward to hearing  from you.
","NDA - Carr Futures, Inc."
"The latest word is that the work surrounding the restructuring activity will not take place until this Thursday.
Therefore, I have moved the Training for this effort to tomorrow (Wednesday) from 2 pm - 3:30 pm in ECS 04990.
I will send another email to all of your managers who will need to attend, but please let them know it will not be held today.
",Manager Training
"See highlighted portion.
We should throw this back at Davis next time he  points the finger.
*****************************************************************  The controller's criticism of fellow Democrat Davis won support from
",Davis' Spokesperson Learns from Palmer---check out the quote
"Dear Green Roomers,  Registration for the spring season, which starts in April, is just around the corner, and we need to submit money to GPSD.
The cost of the ten-game is $50 per player.
Some of you have already paid $25 or so to Jon for the winter season, which unfortunately did not come to pass.
If I'm not mistaken, the following people have already paid: Jon Gail, Jon Bloomfield, Bill Williams, Jay Flint, Jake Fox, Rick Rezinas, Scott Gates, Scott H (the keeper) , Tristan Brunin, Frank Ma, and Declan.
These people need to pay and additional $25.
$50 for everyone else.
Please give me an email in the next week or two if you plan on playing, and send checks or money to the address below.
Additionally, you are encouraged to recruit solid skill players for the team.
Especially at the beginning of the season, more players is better, and fresh blood is always a way to build the team.
See you all soon, Adam Van Loon
",Spring Season
"We are going to meet at El Tiempo tonight for drinks at around 9:00 - 9:30.
Let me know if you can make it.
Eric
",El Tiempo
"Is anybody up for going to Two Rows tonight?
I promise I won't get AS drunk  tonight.
We'll be there around 8:00.
Be there or be SQUARE!.
Eric
",Saturday night follow up
"Attached is the form of option agreement for the Schaeffer option which  passes muster.
The changes are relatively minor, but have significance from  an accounting and legal perspective.
Kay
",Shaffer option
"We had a new paralegal start in our group Monday.
Her name is Susan Bailey.
Can you get her access to our Master Swap Agreement Database.
Thanks.
",Master Swap Agreement Database Access
"susan: I'm going to be out on Friday of this week.
Is there any way that I can get  this today or by early tomorrow?
Alos, please send me an updated Columbia  chart.
Has any progress been made on the agreements that are still  outstanding?
Carol
",Christiana Bank Guaranty Comments
